Stage,Cost,Carbon_Footprint,Water_Usage,Energy_Consumption
Extraction - Aluminum,1500,850,12000,5000
Manufacturing - Aluminum,3200,4200,8000,15000
Transportation - Aluminum,800,600,200,3000
Usage - Aluminum,200,50,100,500
Disposal - Aluminum,400,300,500,1000
Extraction - Steel,1800,1200,15000,7000
Manufacturing - Steel,3500,5500,10000,20000
Transportation - Steel,900,700,250,3500
Usage - Steel,250,80,150,800
Recycling - Steel,600,400,600,1500
Extraction - PET Plastic,1000,500,5000,3000
Manufacturing - PET Plastic,2500,3500,6000,12000
Transportation - PET Plastic,600,400,150,2500
Usage - PET Plastic,150,30,50,400
Landfill - PET Plastic,300,200,300,800
Extraction - Cotton,1200,200,20000,2000
Manufacturing - Cotton,2800,1500,15000,8000
Transportation - Cotton,500,300,100,2000
Usage - Cotton,100,10,200,300
Recycling - Cotton,400,100,400,1000
